radiant_team,dire_team,radiant_win
"50,23,10,21,56","9,30,71,93,84",false
"53,39,74,42,77","68,28,27,93,80",true
"109,82,137,64,21","70,60,75,20,74",true
"105,82,75,15,123","21,53,113,71,42",true
"55,71,22,45,80","16,59,30,75,70",false
"111,93,62,74,81","14,30,1,8,63",true
"17,58,63,35,28","8,36,48,88,30",true
"101,126,29,93,41","87,7,136,67,17",true
"119,63,30,59,70","21,106,31,12,16",false
"14,41,121,76,129","28,9,86,8,25",false
"106,76,123,22,84","17,83,128,137,67",true
"75,53,2,54,93","97,126,58,62,84",true
"27,44,22,135,84","25,9,14,6,5",true
"121,35,1,62,83","14,50,138,54,19",true
"75,84,13,16,54","14,47,26,70,72",true
"62,36,138,93,119","22,60,41,39,31",true
"50,112,11,96,114","14,68,2,63,39",false
"105,64,2,109,80","14,28,23,47,44",true
"86,81,93,88,23","14,15,72,76,39",false
"114,22,40,104,110","80,62,68,54,36",false
"85,138,94,2,53","100,76,60,71,1",true
"64,2,1,50,22","28,75,44,68,26",true
"28,126,135,88,44","87,93,97,84,32",true
"1,75,16,40,68","42,70,80,44,27",false
"97,72,80,12,27","88,25,41,21,68",true
"121,75,114,64,56","42,48,20,9,80",false
"8,100,5,58,52","83,63,49,101,93",false
"8,135,30,47,22","41,96,40,36,71",true
"10,31,7,34,14","104,113,4,5,72",false
"2,68,30,36,93","101,27,70,99,35",true
"2,10,84,14,21","35,26,15,95,47",true
"29,50,97,95,85","53,37,75,102,106",true
"104,22,26,48,53","1,30,96,7,25",true
"40,28,36,113,121","74,30,83,135,1",true
"37,54,87,104,18","121,84,14,138,44",true
"60,93,35,37,84","85,98,14,8,97",false
"36,14,44,81,22","78,1,101,28,76",false
"121,99,26,1,76","36,90,75,104,56",false
"18,83,68,27,47","84,105,60,45,95",false
"104,71,5,25,8","7,29,88,44,80",true
"10,76,75,105,97","32,42,14,98,40",false
"37,31,136,68,8","35,88,16,95,72",false
"53,96,52,44,26","83,104,30,128,63",false
"8,53,2,21,30","42,86,44,35,74",true
"45,12,16,30,35","10,53,31,27,14",true
"25,48,50,85,45","60,84,41,29,68",true
"71,1,48,86,53","119,104,35,67,27",false
"17,101,85,28,42","22,84,76,81,136",true
"104,14,28,67,50","7,75,53,99,6",true
"39,41,53,36,99","2,63,23,30,88",false
"36,120,35,41,7","48,14,11,97,114",true
