match_id,radiant_team,dire_team,radiant_win
7479562910,"30,53,123,113,11","28,22,33,128,1",true
7479562909,"32,36,42,74,63","14,62,99,53,22",true
7479562908,"102,35,67,23,27","62,6,28,26,104",false
7479562809,"25,73,126,14,128","30,85,104,97,54",false
7479562807,"49,70,53,68,76","19,48,2,30,31",true
7479562708,"42,53,102,11,35","76,50,44,75,99",false
7479562706,"71,37,10,86,76","30,41,88,7,104",true
7479562619,"39,80,26,37,54","36,68,64,28,63",true
7479562618,"36,30,64,2,35","14,66,25,96,1",true
7479562602,"8,10,4,14,123","56,138,97,31,26",true
7479562519,"53,22,28,84,67","6,83,30,59,96",true
7479562518,"68,76,10,71,28","136,50,42,6,53",true
7479562517,"137,11,53,71,67","86,7,35,101,44",true
7479562515,"96,23,37,86,41","98,101,67,8,7",true
7479562419,"66,75,28,12,63","7,121,36,3,89",false
7479562418,"4,89,59,87,8","55,44,137,113,95",true
7479562416,"104,4,14,21,40","57,101,12,13,83",true
7479562411,"8,37,114,39,53","96,36,26,30,63",true
7479562318,"25,49,86,2,93","121,72,1,27,47",false
7479562308,"14,75,30,93,29","27,41,52,84,96",true
7479562307,"53,88,28,8,50","75,23,81,121,25",true
7479562306,"14,35,28,50,53","71,39,75,42,56",false
7479562214,"5,23,84,28,74","1,71,105,75,63",true
7479562118,"67,13,36,97,26","53,21,42,88,104",false
7479562117,"36,83,54,20,42","90,46,30,32,13",false
7479562108,"50,28,31,101,1","14,123,84,22,67",true
7479562102,"137,93,96,87,75","29,123,98,41,45",true
7479562015,"22,101,64,93,28","29,128,41,59,40",false
7479562014,"47,40,1,16,22","67,2,27,50,36",false
7479562011,"36,27,29,114,22","12,79,99,17,119",true
7479562008,"41,61,138,84,93","30,49,62,67,50",false
7479562005,"64,44,80,84,36","1,35,121,30,2",true
7479561918,"104,99,114,126,23","28,108,67,85,63",false
7479561914,"71,7,27,67,53","69,30,81,138,14",true
7479561911,"2,128,10,36,76","30,63,96,31,25",true
7479561907,"23,40,1,47,100","39,99,28,8,105",true
7479561804,"4,25,99,83,84","113,92,75,22,93",true
7479561801,"126,18,121,64,28","71,62,36,30,8",true
7479561719,"12,102,104,97,36","93,35,26,2,14",true
7479561718,"42,30,22,83,138","86,67,93,19,81",false
7479561714,"32,46,53,89,14","126,41,2,76,9",true
7479561601,"25,14,11,53,63","35,74,71,36,83",false
7479561511,"114,18,27,11,30","81,15,99,26,54",true
7479561507,"36,95,45,69,50","1,2,27,105,64",false
7479561419,"11,2,123,98,31","26,47,67,42,14",false
7479561403,"14,85,58,43,138","44,76,27,86,71",false
7479561400,"129,35,74,68,48","11,14,112,63,20",true
7479561316,"6,71,48,27,59","93,126,90,30,28",false
7479561313,"85,77,30,67,34","31,111,71,1,35",true
7479561311,"56,128,138,76,74","80,93,11,9,35",false
7479561310,"105,1,30,28,80","121,42,114,75,88",false
7479561309,"78,41,76,71,40","97,63,87,80,72",true
7479561306,"2,25,80,32,67","71,53,62,11,8",false
7479561305,"137,76,45,53,93","128,67,71,75,11",true
7479561304,"121,54,50,112,14","88,44,135,97,87",true
7479561216,"44,55,30,27,76","14,129,67,91,111",true
